province_territory,category_1,category_2,category_3,total_flag,year,value
Quebec,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,125
Quebec,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,285
Quebec,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,365
Quebec,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,970
Quebec,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Quebec,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Quebec,Canadian Interests,Competitiveness and public policy,,True,2000,"1,745"
Quebec,Canadian Interests,Charitable or religious work,,False,2000,145
Quebec,Canadian Interests,,,True,2000,"4,715"
Quebec,Other IMP Participants,,,False,2000,795
Quebec,Vulnerable workers,Vulnerable workers,,False,2000,0
Quebec,Vulnerable workers,,,True,2000,0
Quebec,,,,True,2000,"7,180"
Ontario,Agreements,Canada-International,Non-Trade,False,2000,0
Ontario,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,"6,125"
Ontario,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,90
Ontario,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,90
Ontario,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Ontario,Agreements,Canada-International,Canada-Korea Free Trade Agreement (CKFTA),False,2000,0
Ontario,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Ontario,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Ontario,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Ontario,Agreements,Canada-International,Agreement on Trade Continuity between Canada and the United Kingdom of Great Britain and Northern Ireland (CUKTCA),False,2000,0
Ontario,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
Ontario,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Ontario,Agreements,Canada-International,Canada-Panama Free Trade Agreement,False,2000,0
Ontario,Agreements,Canada-International,Canada-Ukraine Free Trade Agreement (CUFTA),False,2000,0
Ontario,Agreements,Canada-International,,True,2000,"6,310"
Ontario,Agreements,Canada - Provincial/Territorial,,False,2000,0
Ontario,Agreements,Other Agreements,,False,2000,"1,130"
Ontario,Agreements,Provincial/Territorial - International,,False,2000,0
Ontario,Agreements,,,True,2000,"7,440"
Ontario,Canadian Interests,Significant benefit,,False,2000,"4,530"
Ontario,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,"2,535"
Ontario,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,265
Ontario,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,840
Ontario,Canadian Interests,Reciprocal Employment,,True,2000,"3,640"
Ontario,Canadian Interests,"Research, educational or training programs",,False,2000,0
Ontario,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,360
Ontario,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,475
Ontario,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,630
Ontario,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,"1,245"
Ontario,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Ontario,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Ontario,Canadian Interests,Competitiveness and public policy,,True,2000,"2,710"
Ontario,Canadian Interests,Charitable or religious work,,False,2000,300
Ontario,Canadian Interests,,,True,2000,"11,180"
Ontario,Other IMP Participants,,,False,2000,825
Ontario,Vulnerable workers,Vulnerable workers,,False,2000,0
Ontario,Vulnerable workers,,,True,2000,0
Ontario,,,,True,2000,"19,445"
Manitoba,Agreements,Canada-International,Non-Trade,False,2000,0
Manitoba,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,200
Manitoba,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,0
Manitoba,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,
Manitoba,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Manitoba,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Manitoba,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Manitoba,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Manitoba,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Manitoba,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
Manitoba,Agreements,Canada-International,Canada-Ukraine Free Trade Agreement (CUFTA),False,2000,0
Manitoba,Agreements,Canada-International,,True,2000,200
Manitoba,Agreements,Canada - Provincial/Territorial,,False,2000,0
Manitoba,Agreements,Other Agreements,,False,2000,80
Manitoba,Agreements,Provincial/Territorial - International,,False,2000,0
Manitoba,Agreements,,,True,2000,280
Manitoba,Canadian Interests,Significant benefit,,False,2000,135
Manitoba,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,55
Manitoba,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,20
Manitoba,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,65
Manitoba,Canadian Interests,Reciprocal Employment,,True,2000,140
Manitoba,Canadian Interests,"Research, educational or training programs",,False,2000,0
Manitoba,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,40
Manitoba,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,60
Manitoba,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,45
Manitoba,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,60
Manitoba,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Manitoba,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Manitoba,Canadian Interests,Competitiveness and public policy,,True,2000,200
Manitoba,Canadian Interests,Charitable or religious work,,False,2000,35
Manitoba,Canadian Interests,,,True,2000,510
Manitoba,Other IMP Participants,,,False,2000,80
Manitoba,Vulnerable workers,Vulnerable workers,,False,2000,0
Manitoba,Vulnerable workers,,,True,2000,0
Manitoba,,,,True,2000,870
Saskatchewan,Agreements,Canada-International,Non-Trade,False,2000,0
Saskatchewan,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,90
Saskatchewan,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,0
Saskatchewan,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,0
Saskatchewan,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Saskatchewan,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Saskatchewan,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Saskatchewan,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Saskatchewan,Agreements,Canada-International,Agreement on Trade Continuity between Canada and the United Kingdom of Great Britain and Northern Ireland (CUKTCA),False,2000,0
Saskatchewan,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
Saskatchewan,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Saskatchewan,Agreements,Canada-International,,True,2000,90
Saskatchewan,Agreements,Canada - Provincial/Territorial,,False,2000,0
Saskatchewan,Agreements,Other Agreements,,False,2000,45
Saskatchewan,Agreements,Provincial/Territorial - International,,False,2000,0
Saskatchewan,Agreements,,,True,2000,140
Saskatchewan,Canadian Interests,Significant benefit,,False,2000,85
Saskatchewan,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,50
Saskatchewan,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,20
Saskatchewan,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,75
Saskatchewan,Canadian Interests,Reciprocal Employment,,True,2000,140
Saskatchewan,Canadian Interests,"Research, educational or training programs",,False,2000,0
Saskatchewan,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,60
Saskatchewan,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,75
Saskatchewan,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,20
Saskatchewan,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,85
Saskatchewan,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Saskatchewan,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Saskatchewan,Canadian Interests,Competitiveness and public policy,,True,2000,240
Saskatchewan,Canadian Interests,Charitable or religious work,,False,2000,10
Saskatchewan,Canadian Interests,,,True,2000,475
Saskatchewan,Other IMP Participants,,,False,2000,60
Saskatchewan,Vulnerable workers,Vulnerable workers,,False,2000,0
Saskatchewan,Vulnerable workers,,,True,2000,0
Saskatchewan,,,,True,2000,675
Alberta,Agreements,Canada-International,Non-Trade,False,2000,0
Alberta,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,"1,575"
Alberta,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,25
Alberta,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,30
Alberta,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
Alberta,Agreements,Canada-International,Canada-Korea Free Trade Agreement (CKFTA),False,2000,0
Alberta,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
Alberta,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
Alberta,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
Alberta,Agreements,Canada-International,Agreement on Trade Continuity between Canada and the United Kingdom of Great Britain and Northern Ireland (CUKTCA),False,2000,0
Alberta,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
Alberta,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
Alberta,Agreements,Canada-International,Canada-Panama Free Trade Agreement,False,2000,0
Alberta,Agreements,Canada-International,,True,2000,"1,630"
Alberta,Agreements,Canada - Provincial/Territorial,,False,2000,0
Alberta,Agreements,Other Agreements,,False,2000,205
Alberta,Agreements,Provincial/Territorial - International,,False,2000,0
Alberta,Agreements,,,True,2000,"1,835"
Alberta,Canadian Interests,Significant benefit,,False,2000,600
Alberta,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,"1,005"
Alberta,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,90
Alberta,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,305
Alberta,Canadian Interests,Reciprocal Employment,,True,2000,"1,395"
Alberta,Canadian Interests,"Research, educational or training programs",,False,2000,0
Alberta,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,125
Alberta,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,205
Alberta,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,135
Alberta,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,340
Alberta,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
Alberta,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
Alberta,Canadian Interests,Competitiveness and public policy,,True,2000,805
Alberta,Canadian Interests,Charitable or religious work,,False,2000,75
Alberta,Canadian Interests,,,True,2000,"2,870"
Alberta,Other IMP Participants,,,False,2000,165
Alberta,Vulnerable workers,Vulnerable workers,,False,2000,0
Alberta,Vulnerable workers,,,True,2000,0
Alberta,,,,True,2000,"4,865"
British Columbia,Agreements,Canada-International,Non-Trade,False,2000,0
British Columbia,Agreements,Canada-International,North American Free Trade Agreement (NAFTA),False,2000,985
British Columbia,Agreements,Canada-International,Other Free Trade Agreement (FTA),False,2000,30
British Columbia,Agreements,Canada-International,General Agreement on Trade in Services (GATS) Professional,False,2000,10
British Columbia,Agreements,Canada-International,Canada-Colombia Free Trade Agreement,False,2000,0
British Columbia,Agreements,Canada-International,Canada-Korea Free Trade Agreement (CKFTA),False,2000,0
British Columbia,Agreements,Canada-International,Comprehensive Economic and Trade Agreement (CETA),False,2000,0
British Columbia,Agreements,Canada-International,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP),False,2000,0
British Columbia,Agreements,Canada-International,Canada-United States-Mexico Agreement (CUSMA),False,2000,0
British Columbia,Agreements,Canada-International,Canada-Chile Free Trade Agreement,False,2000,0
British Columbia,Agreements,Canada-International,Agreement on Trade Continuity between Canada and the United Kingdom of Great Britain and Northern Ireland (CUKTCA),False,2000,0
British Columbia,Agreements,Canada-International,Canada-Peru Free Trade Agreement,False,2000,0
British Columbia,Agreements,Canada-International,Canada-Panama Free Trade Agreement,False,2000,0
British Columbia,Agreements,Canada-International,Canada-Ukraine Free Trade Agreement (CUFTA),False,2000,0
British Columbia,Agreements,Canada-International,,True,2000,"1,025"
British Columbia,Agreements,Canada - Provincial/Territorial,,False,2000,0
British Columbia,Agreements,Other Agreements,,False,2000,115
British Columbia,Agreements,Provincial/Territorial - International,,False,2000,0
British Columbia,Agreements,,,True,2000,"1,140"
British Columbia,Canadian Interests,Significant benefit,,False,2000,"1,015"
British Columbia,Canadian Interests,Reciprocal Employment,International Experience Canada (IEC),False,2000,"5,380"
British Columbia,Canadian Interests,Reciprocal Employment,"Exchange Professors, Visiting Lecturers",False,2000,170
British Columbia,Canadian Interests,Reciprocal Employment,Reciprocal Employment - Other,False,2000,305
British Columbia,Canadian Interests,Reciprocal Employment,,True,2000,"5,855"
British Columbia,Canadian Interests,"Research, educational or training programs",,False,2000,0
British Columbia,Canadian Interests,Competitiveness and public policy,Spouses of skilled workers,False,2000,125
British Columbia,Canadian Interests,Competitiveness and public policy,Spouses of students,False,2000,375
British Columbia,Canadian Interests,Competitiveness and public policy,Post-grad employment,False,2000,220
British Columbia,Canadian Interests,Competitiveness and public policy,Post-doctoral Ph.D fellows and award recipients,False,2000,465
British Columbia,Canadian Interests,Competitiveness and public policy,Dependent of skilled worker,False,2000,0
British Columbia,Canadian Interests,Competitiveness and public policy,Family members of Economic PR applicants,False,2000,0
British Columbia,Canadian Interests,Competitiveness and public policy,,True,2000,"1,190"
British Columbia,Canadian Interests,Charitable or religious work,,False,2000,145
British Columbia,Canadian Interests,,,True,2000,"8,205"
British Columbia,Other IMP Participants,,,False,2000,270
British Columbia,Vulnerable workers,Vulnerable workers,,False,2000,0
