province_territory,study_level,total_flag,year_month,year,month,value
Nova Scotia,,True,2015-02,2015,2,290
New Brunswick,Secondary or less,False,2015-02,2015,2,10
New Brunswick,Post Secondary,False,2015-02,2015,2,65
New Brunswick,Other Studies,False,2015-02,2015,2,2
New Brunswick,Education level not stated,False,2015-02,2015,2,0
New Brunswick,,True,2015-02,2015,2,80
Quebec,Secondary or less,False,2015-02,2015,2,95
Quebec,Post Secondary,False,2015-02,2015,2,795
Quebec,Other Studies,False,2015-02,2015,2,190
Quebec,Education level not stated,False,2015-02,2015,2,2
Quebec,,True,2015-02,2015,2,1080
Ontario,Secondary or less,False,2015-02,2015,2,825
Ontario,Post Secondary,False,2015-02,2015,2,1785
Ontario,Other Studies,False,2015-02,2015,2,790
Ontario,Education level not stated,False,2015-02,2015,2,5
Ontario,,True,2015-02,2015,2,3410
Manitoba,Secondary or less,False,2015-02,2015,2,45
Manitoba,Post Secondary,False,2015-02,2015,2,165
Manitoba,Other Studies,False,2015-02,2015,2,30
Manitoba,Education level not stated,False,2015-02,2015,2,0
Manitoba,,True,2015-02,2015,2,240
Saskatchewan,Secondary or less,False,2015-02,2015,2,55
Saskatchewan,Post Secondary,False,2015-02,2015,2,95
Saskatchewan,Other Studies,False,2015-02,2015,2,15
Saskatchewan,Education level not stated,False,2015-02,2015,2,0
Saskatchewan,,True,2015-02,2015,2,165
Alberta,Secondary or less,False,2015-02,2015,2,240
Alberta,Post Secondary,False,2015-02,2015,2,265
Alberta,Other Studies,False,2015-02,2015,2,145
Alberta,Education level not stated,False,2015-02,2015,2,0
Alberta,,True,2015-02,2015,2,645
British Columbia,Secondary or less,False,2015-02,2015,2,680
British Columbia,Post Secondary,False,2015-02,2015,2,1150
British Columbia,Other Studies,False,2015-02,2015,2,775
British Columbia,Education level not stated,False,2015-02,2015,2,5
British Columbia,,True,2015-02,2015,2,2605
Yukon,Secondary or less,False,2015-02,2015,2,0
Yukon,Post Secondary,False,2015-02,2015,2,0
Yukon,Other Studies,False,2015-02,2015,2,0
Yukon,Education level not stated,False,2015-02,2015,2,0
Yukon,,True,2015-02,2015,2,0
Northwest Territories,Secondary or less,False,2015-02,2015,2,0
Northwest Territories,Post Secondary,False,2015-02,2015,2,2
Northwest Territories,Other Studies,False,2015-02,2015,2,0
Northwest Territories,,True,2015-02,2015,2,2
Nunavut,Secondary or less,False,2015-02,2015,2,0
Nunavut,Post Secondary,False,2015-02,2015,2,0
Nunavut,Other Studies,False,2015-02,2015,2,0
Nunavut,,True,2015-02,2015,2,0
Province/territory not stated Total,,False,2015-02,2015,2,0
Total,,True,2015-02,2015,2,8630
Newfoundland and Labrador,Secondary or less,False,2015-03,2015,3,5
Newfoundland and Labrador,Post Secondary,False,2015-03,2015,3,40
Newfoundland and Labrador,Other Studies,False,2015-03,2015,3,2
Newfoundland and Labrador,Education level not stated,False,2015-03,2015,3,0
Newfoundland and Labrador,,True,2015-03,2015,3,50
Prince Edward Island,Secondary or less,False,2015-03,2015,3,2
Prince Edward Island,Post Secondary,False,2015-03,2015,3,10
Prince Edward Island,Other Studies,False,2015-03,2015,3,15
Prince Edward Island,Education level not stated,False,2015-03,2015,3,0
Prince Edward Island,,True,2015-03,2015,3,25
Nova Scotia,Secondary or less,False,2015-03,2015,3,20
Nova Scotia,Post Secondary,False,2015-03,2015,3,130
Nova Scotia,Other Studies,False,2015-03,2015,3,50
Nova Scotia,Education level not stated,False,2015-03,2015,3,0
Nova Scotia,,True,2015-03,2015,3,200
New Brunswick,Secondary or less,False,2015-03,2015,3,10
New Brunswick,Post Secondary,False,2015-03,2015,3,70
New Brunswick,Other Studies,False,2015-03,2015,3,15
New Brunswick,Education level not stated,False,2015-03,2015,3,0
New Brunswick,,True,2015-03,2015,3,95
Quebec,Secondary or less,False,2015-03,2015,3,90
Quebec,Post Secondary,False,2015-03,2015,3,715
Quebec,Other Studies,False,2015-03,2015,3,190
Quebec,Education level not stated,False,2015-03,2015,3,2
Quebec,,True,2015-03,2015,3,1000
Ontario,Secondary or less,False,2015-03,2015,3,645
Ontario,Post Secondary,False,2015-03,2015,3,1715
Ontario,Other Studies,False,2015-03,2015,3,780
Ontario,Education level not stated,False,2015-03,2015,3,10
Ontario,,True,2015-03,2015,3,3145
Manitoba,Secondary or less,False,2015-03,2015,3,40
Manitoba,Post Secondary,False,2015-03,2015,3,155
Manitoba,Other Studies,False,2015-03,2015,3,40
Manitoba,Education level not stated,False,2015-03,2015,3,0
Manitoba,,True,2015-03,2015,3,235
Saskatchewan,Secondary or less,False,2015-03,2015,3,40
Saskatchewan,Post Secondary,False,2015-03,2015,3,95
Saskatchewan,Other Studies,False,2015-03,2015,3,25
Saskatchewan,Education level not stated,False,2015-03,2015,3,0
Saskatchewan,,True,2015-03,2015,3,160
Alberta,Secondary or less,False,2015-03,2015,3,205
Alberta,Post Secondary,False,2015-03,2015,3,305
Alberta,Other Studies,False,2015-03,2015,3,110
Alberta,Education level not stated,False,2015-03,2015,3,2
Alberta,,True,2015-03,2015,3,620
British Columbia,Secondary or less,False,2015-03,2015,3,520
British Columbia,Post Secondary,False,2015-03,2015,3,1145
British Columbia,Other Studies,False,2015-03,2015,3,750
British Columbia,Education level not stated,False,2015-03,2015,3,2
British Columbia,,True,2015-03,2015,3,2420
Yukon,Secondary or less,False,2015-03,2015,3,0
Yukon,Post Secondary,False,2015-03,2015,3,0
Yukon,Other Studies,False,2015-03,2015,3,2
Yukon,Education level not stated,False,2015-03,2015,3,0
Yukon,,True,2015-03,2015,3,2
Northwest Territories,Secondary or less,False,2015-03,2015,3,0
Northwest Territories,Post Secondary,False,2015-03,2015,3,0
Northwest Territories,Other Studies,False,2015-03,2015,3,0
Northwest Territories,,True,2015-03,2015,3,0
Nunavut,Secondary or less,False,2015-03,2015,3,0
Nunavut,Post Secondary,False,2015-03,2015,3,0
Nunavut,Other Studies,False,2015-03,2015,3,0
Nunavut,,True,2015-03,2015,3,0
Province/territory not stated Total,,False,2015-03,2015,3,0
Total,,True,2015-03,2015,3,7945
Newfoundland and Labrador,Secondary or less,False,2015-04,2015,4,10
Newfoundland and Labrador,Post Secondary,False,2015-04,2015,4,45
Newfoundland and Labrador,Other Studies,False,2015-04,2015,4,0
Newfoundland and Labrador,Education level not stated,False,2015-04,2015,4,0
Newfoundland and Labrador,,True,2015-04,2015,4,50
Prince Edward Island,Secondary or less,False,2015-04,2015,4,5
Prince Edward Island,Post Secondary,False,2015-04,2015,4,15
Prince Edward Island,Other Studies,False,2015-04,2015,4,20
Prince Edward Island,Education level not stated,False,2015-04,2015,4,0
Prince Edward Island,,True,2015-04,2015,4,45
Nova Scotia,Secondary or less,False,2015-04,2015,4,25
Nova Scotia,Post Secondary,False,2015-04,2015,4,165
Nova Scotia,Other Studies,False,2015-04,2015,4,60
Nova Scotia,Education level not stated,False,2015-04,2015,4,0
Nova Scotia,,True,2015-04,2015,4,255
New Brunswick,Secondary or less,False,2015-04,2015,4,15
New Brunswick,Post Secondary,False,2015-04,2015,4,75
New Brunswick,Other Studies,False,2015-04,2015,4,10
New Brunswick,Education level not stated,False,2015-04,2015,4,0
New Brunswick,,True,2015-04,2015,4,100
Quebec,Secondary or less,False,2015-04,2015,4,55
Quebec,Post Secondary,False,2015-04,2015,4,860
Quebec,Other Studies,False,2015-04,2015,4,160
Quebec,Education level not stated,False,2015-04,2015,4,2
Quebec,,True,2015-04,2015,4,1070
Ontario,Secondary or less,False,2015-04,2015,4,705
Ontario,Post Secondary,False,2015-04,2015,4,3085
Ontario,Other Studies,False,2015-04,2015,4,1040
Ontario,Education level not stated,False,2015-04,2015,4,2
Ontario,,True,2015-04,2015,4,4830
Manitoba,Secondary or less,False,2015-04,2015,4,35
Manitoba,Post Secondary,False,2015-04,2015,4,350
Manitoba,Other Studies,False,2015-04,2015,4,70
Manitoba,Education level not stated,False,2015-04,2015,4,2
Manitoba,,True,2015-04,2015,4,460
Saskatchewan,Secondary or less,False,2015-04,2015,4,55
Saskatchewan,Post Secondary,False,2015-04,2015,4,135
Saskatchewan,Other Studies,False,2015-04,2015,4,20
Saskatchewan,Education level not stated,False,2015-04,2015,4,0
Saskatchewan,,True,2015-04,2015,4,205
Alberta,Secondary or less,False,2015-04,2015,4,255
Alberta,Post Secondary,False,2015-04,2015,4,435
Alberta,Other Studies,False,2015-04,2015,4,205
Alberta,Education level not stated,False,2015-04,2015,4,2
Alberta,,True,2015-04,2015,4,900
British Columbia,Secondary or less,False,2015-04,2015,4,545
British Columbia,Post Secondary,False,2015-04,2015,4,1915
British Columbia,Other Studies,False,2015-04,2015,4,1075
British Columbia,Education level not stated,False,2015-04,2015,4,2
British Columbia,,True,2015-04,2015,4,3525
Yukon,Secondary or less,False,2015-04,2015,4,0
Yukon,Post Secondary,False,2015-04,2015,4,2
Yukon,Other Studies,False,2015-04,2015,4,0
Yukon,Education level not stated,False,2015-04,2015,4,0
Yukon,,True,2015-04,2015,4,2
Northwest Territories,Secondary or less,False,2015-04,2015,4,0
Northwest Territories,Post Secondary,False,2015-04,2015,4,0
Northwest Territories,Other Studies,False,2015-04,2015,4,0
Northwest Territories,,True,2015-04,2015,4,0
Nunavut,Secondary or less,False,2015-04,2015,4,0
Nunavut,Post Secondary,False,2015-04,2015,4,2
Nunavut,Other Studies,False,2015-04,2015,4,0
Nunavut,,True,2015-04,2015,4,2
Province/territory not stated Total,,False,2015-04,2015,4,2
Total,,True,2015-04,2015,4,11435
Newfoundland and Labrador,Secondary or less,False,2015-05,2015,5,15
Newfoundland and Labrador,Post Secondary,False,2015-05,2015,5,75
Newfoundland and Labrador,Other Studies,False,2015-05,2015,5,10
Newfoundland and Labrador,Education level not stated,False,2015-05,2015,5,0
Newfoundland and Labrador,,True,2015-05,2015,5,95
Prince Edward Island,Secondary or less,False,2015-05,2015,5,2
Prince Edward Island,Post Secondary,False,2015-05,2015,5,20
Prince Edward Island,Other Studies,False,2015-05,2015,5,15
Prince Edward Island,Education level not stated,False,2015-05,2015,5,0
Prince Edward Island,,True,2015-05,2015,5,35
Nova Scotia,Secondary or less,False,2015-05,2015,5,30
Nova Scotia,Post Secondary,False,2015-05,2015,5,160
Nova Scotia,Other Studies,False,2015-05,2015,5,60
Nova Scotia,Education level not stated,False,2015-05,2015,5,0
Nova Scotia,,True,2015-05,2015,5,250
New Brunswick,Secondary or less,False,2015-05,2015,5,15
New Brunswick,Post Secondary,False,2015-05,2015,5,75
New Brunswick,Other Studies,False,2015-05,2015,5,25
New Brunswick,Education level not stated,False,2015-05,2015,5,0
New Brunswick,,True,2015-05,2015,5,115
Quebec,Secondary or less,False,2015-05,2015,5,90
Quebec,Post Secondary,False,2015-05,2015,5,895
Quebec,Other Studies,False,2015-05,2015,5,195
Quebec,Education level not stated,False,2015-05,2015,5,2
Quebec,,True,2015-05,2015,5,1175
Ontario,Secondary or less,False,2015-05,2015,5,985
Ontario,Post Secondary,False,2015-05,2015,5,3325
Ontario,Other Studies,False,2015-05,2015,5,850
Ontario,Education level not stated,False,2015-05,2015,5,2
Ontario,,True,2015-05,2015,5,5165
Manitoba,Secondary or less,False,2015-05,2015,5,45
Manitoba,Post Secondary,False,2015-05,2015,5,260
Manitoba,Other Studies,False,2015-05,2015,5,30
Manitoba,Education level not stated,False,2015-05,2015,5,0
Manitoba,,True,2015-05,2015,5,335
Saskatchewan,Secondary or less,False,2015-05,2015,5,65
Saskatchewan,Post Secondary,False,2015-05,2015,5,140
Saskatchewan,Other Studies,False,2015-05,2015,5,15
Saskatchewan,Education level not stated,False,2015-05,2015,5,0
Saskatchewan,,True,2015-05,2015,5,220
Alberta,Secondary or less,False,2015-05,2015,5,290
Alberta,Post Secondary,False,2015-05,2015,5,400
Alberta,Other Studies,False,2015-05,2015,5,120
Alberta,Education level not stated,False,2015-05,2015,5,0
Alberta,,True,2015-05,2015,5,810
British Columbia,Secondary or less,False,2015-05,2015,5,755
British Columbia,Post Secondary,False,2015-05,2015,5,1555
British Columbia,Other Studies,False,2015-05,2015,5,655
British Columbia,Education level not stated,False,2015-05,2015,5,2
British Columbia,,True,2015-05,2015,5,2965
Yukon,Secondary or less,False,2015-05,2015,5,0
Yukon,Post Secondary,False,2015-05,2015,5,0
Yukon,Other Studies,False,2015-05,2015,5,2
Yukon,Education level not stated,False,2015-05,2015,5,0
Yukon,,True,2015-05,2015,5,2
Northwest Territories,Secondary or less,False,2015-05,2015,5,0
Northwest Territories,Post Secondary,False,2015-05,2015,5,0
Northwest Territories,Other Studies,False,2015-05,2015,5,0
Northwest Territories,,True,2015-05,2015,5,0
Nunavut,Secondary or less,False,2015-05,2015,5,0
Nunavut,Post Secondary,False,2015-05,2015,5,0
Nunavut,Other Studies,False,2015-05,2015,5,0
Nunavut,,True,2015-05,2015,5,0
Province/territory not stated Total,,False,2015-05,2015,5,2
Total,,True,2015-05,2015,5,11175
Newfoundland and Labrador,Secondary or less,False,2015-06,2015,6,10
Newfoundland and Labrador,Post Secondary,False,2015-06,2015,6,55
Newfoundland and Labrador,Other Studies,False,2015-06,2015,6,0
Newfoundland and Labrador,Education level not stated,False,2015-06,2015,6,0
Newfoundland and Labrador,,True,2015-06,2015,6,65
Prince Edward Island,Secondary or less,False,2015-06,2015,6,10
Prince Edward Island,Post Secondary,False,2015-06,2015,6,30
Prince Edward Island,Other Studies,False,2015-06,2015,6,50
Prince Edward Island,Education level not stated,False,2015-06,2015,6,0
Prince Edward Island,,True,2015-06,2015,6,90
Nova Scotia,Secondary or less,False,2015-06,2015,6,65
Nova Scotia,Post Secondary,False,2015-06,2015,6,250
Nova Scotia,Other Studies,False,2015-06,2015,6,50
Nova Scotia,Education level not stated,False,2015-06,2015,6,0
Nova Scotia,,True,2015-06,2015,6,365
New Brunswick,Secondary or less,False,2015-06,2015,6,10
New Brunswick,Post Secondary,False,2015-06,2015,6,125
New Brunswick,Other Studies,False,2015-06,2015,6,2
New Brunswick,Education level not stated,False,2015-06,2015,6,0
New Brunswick,,True,2015-06,2015,6,140
Quebec,Secondary or less,False,2015-06,2015,6,150
Quebec,Post Secondary,False,2015-06,2015,6,840
Quebec,Other Studies,False,2015-06,2015,6,225
Quebec,Education level not stated,False,2015-06,2015,6,2
Quebec,,True,2015-06,2015,6,1220
Ontario,Secondary or less,False,2015-06,2015,6,1360
Ontario,Post Secondary,False,2015-06,2015,6,3125
Ontario,Other Studies,False,2015-06,2015,6,705
Ontario,Education level not stated,False,2015-06,2015,6,2
Ontario,,True,2015-06,2015,6,5190
Manitoba,Secondary or less,False,2015-06,2015,6,45
Manitoba,Post Secondary,False,2015-06,2015,6,225
Manitoba,Other Studies,False,2015-06,2015,6,15
Manitoba,Education level not stated,False,2015-06,2015,6,0
Manitoba,,True,2015-06,2015,6,290
Saskatchewan,Secondary or less,False,2015-06,2015,6,80
Saskatchewan,Post Secondary,False,2015-06,2015,6,145
Saskatchewan,Other Studies,False,2015-06,2015,6,15
Saskatchewan,Education level not stated,False,2015-06,2015,6,0
Saskatchewan,,True,2015-06,2015,6,240
Alberta,Secondary or less,False,2015-06,2015,6,350
Alberta,Post Secondary,False,2015-06,2015,6,480
Alberta,Other Studies,False,2015-06,2015,6,110
Alberta,Education level not stated,False,2015-06,2015,6,0
Alberta,,True,2015-06,2015,6,945
British Columbia,Secondary or less,False,2015-06,2015,6,1245
British Columbia,Post Secondary,False,2015-06,2015,6,1480
British Columbia,Other Studies,False,2015-06,2015,6,640
British Columbia,Education level not stated,False,2015-06,2015,6,2
British Columbia,,True,2015-06,2015,6,3370
Yukon,Secondary or less,False,2015-06,2015,6,0
Yukon,Post Secondary,False,2015-06,2015,6,2
Yukon,Other Studies,False,2015-06,2015,6,0
Yukon,Education level not stated,False,2015-06,2015,6,0
Yukon,,True,2015-06,2015,6,2
Northwest Territories,Secondary or less,False,2015-06,2015,6,2
Northwest Territories,Post Secondary,False,2015-06,2015,6,0
Northwest Territories,Other Studies,False,2015-06,2015,6,0
Northwest Territories,,True,2015-06,2015,6,2
Nunavut,Secondary or less,False,2015-06,2015,6,0
Nunavut,Post Secondary,False,2015-06,2015,6,0
Nunavut,Other Studies,False,2015-06,2015,6,0
Nunavut,,True,2015-06,2015,6,0
Province/territory not stated Total,,False,2015-06,2015,6,2
Total,,True,2015-06,2015,6,11905
Newfoundland and Labrador,Secondary or less,False,2015-07,2015,7,10
Newfoundland and Labrador,Post Secondary,False,2015-07,2015,7,145
Newfoundland and Labrador,Other Studies,False,2015-07,2015,7,2
Newfoundland and Labrador,Education level not stated,False,2015-07,2015,7,0
Newfoundland and Labrador,,True,2015-07,2015,7,160
Prince Edward Island,Secondary or less,False,2015-07,2015,7,35
Prince Edward Island,Post Secondary,False,2015-07,2015,7,45
Prince Edward Island,Other Studies,False,2015-07,2015,7,20
Prince Edward Island,Education level not stated,False,2015-07,2015,7,0
Prince Edward Island,,True,2015-07,2015,7,100
Nova Scotia,Secondary or less,False,2015-07,2015,7,85
Nova Scotia,Post Secondary,False,2015-07,2015,7,450
Nova Scotia,Other Studies,False,2015-07,2015,7,65
Nova Scotia,Education level not stated,False,2015-07,2015,7,0
Nova Scotia,,True,2015-07,2015,7,600
New Brunswick,Secondary or less,False,2015-07,2015,7,35
New Brunswick,Post Secondary,False,2015-07,2015,7,190
New Brunswick,Other Studies,False,2015-07,2015,7,2
New Brunswick,Education level not stated,False,2015-07,2015,7,0
New Brunswick,,True,2015-07,2015,7,225
Quebec,Secondary or less,False,2015-07,2015,7,315
Quebec,Post Secondary,False,2015-07,2015,7,2780
Quebec,Other Studies,False,2015-07,2015,7,390
Quebec,Education level not stated,False,2015-07,2015,7,2
Quebec,,True,2015-07,2015,7,3490
Ontario,Secondary or less,False,2015-07,2015,7,2615
Ontario,Post Secondary,False,2015-07,2015,7,7200
Ontario,Other Studies,False,2015-07,2015,7,950
Ontario,Education level not stated,False,2015-07,2015,7,5
Ontario,,True,2015-07,2015,7,10770
Manitoba,Secondary or less,False,2015-07,2015,7,105
Manitoba,Post Secondary,False,2015-07,2015,7,615
Manitoba,Other Studies,False,2015-07,2015,7,50
Manitoba,Education level not stated,False,2015-07,2015,7,2
Manitoba,,True,2015-07,2015,7,765
Saskatchewan,Secondary or less,False,2015-07,2015,7,135
Saskatchewan,Post Secondary,False,2015-07,2015,7,285
Saskatchewan,Other Studies,False,2015-07,2015,7,10
Saskatchewan,Education level not stated,False,2015-07,2015,7,0
Saskatchewan,,True,2015-07,2015,7,430
Alberta,Secondary or less,False,2015-07,2015,7,465
Alberta,Post Secondary,False,2015-07,2015,7,1020
Alberta,Other Studies,False,2015-07,2015,7,135
Alberta,Education level not stated,False,2015-07,2015,7,2
Alberta,,True,2015-07,2015,7,1625
British Columbia,Secondary or less,False,2015-07,2015,7,2395
British Columbia,Post Secondary,False,2015-07,2015,7,3025
British Columbia,Other Studies,False,2015-07,2015,7,795
British Columbia,Education level not stated,False,2015-07,2015,7,5
British Columbia,,True,2015-07,2015,7,6220
Yukon,Secondary or less,False,2015-07,2015,7,0
Yukon,Post Secondary,False,2015-07,2015,7,2
Yukon,Other Studies,False,2015-07,2015,7,0
Yukon,Education level not stated,False,2015-07,2015,7,0
Yukon,,True,2015-07,2015,7,2
Northwest Territories,Secondary or less,False,2015-07,2015,7,2
Northwest Territories,Post Secondary,False,2015-07,2015,7,0
Northwest Territories,Other Studies,False,2015-07,2015,7,0
Northwest Territories,,True,2015-07,2015,7,2
Nunavut,Secondary or less,False,2015-07,2015,7,0
Nunavut,Post Secondary,False,2015-07,2015,7,0
Nunavut,Other Studies,False,2015-07,2015,7,0
Nunavut,,True,2015-07,2015,7,0
Province/territory not stated Total,,False,2015-07,2015,7,5
Total,,True,2015-07,2015,7,24385
Newfoundland and Labrador,Secondary or less,False,2015-08,2015,8,15
Newfoundland and Labrador,Post Secondary,False,2015-08,2015,8,280
Newfoundland and Labrador,Other Studies,False,2015-08,2015,8,20
Newfoundland and Labrador,Education level not stated,False,2015-08,2015,8,0
Newfoundland and Labrador,,True,2015-08,2015,8,315
Prince Edward Island,Secondary or less,False,2015-08,2015,8,45
Prince Edward Island,Post Secondary,False,2015-08,2015,8,160
Prince Edward Island,Other Studies,False,2015-08,2015,8,20
Prince Edward Island,Education level not stated,False,2015-08,2015,8,0
Prince Edward Island,,True,2015-08,2015,8,220
Nova Scotia,Secondary or less,False,2015-08,2015,8,605
Nova Scotia,Post Secondary,False,2015-08,2015,8,1170
Nova Scotia,Other Studies,False,2015-08,2015,8,140
Nova Scotia,Education level not stated,False,2015-08,2015,8,0
Nova Scotia,,True,2015-08,2015,8,1915
New Brunswick,Secondary or less,False,2015-08,2015,8,75
New Brunswick,Post Secondary,False,2015-08,2015,8,465
New Brunswick,Other Studies,False,2015-08,2015,8,10
New Brunswick,Education level not stated,False,2015-08,2015,8,0
New Brunswick,,True,2015-08,2015,8,545
Quebec,Secondary or less,False,2015-08,2015,8,840
Quebec,Post Secondary,False,2015-08,2015,8,10145
Quebec,Other Studies,False,2015-08,2015,8,500
Quebec,Education level not stated,False,2015-08,2015,8,2
Quebec,,True,2015-08,2015,8,11485
Ontario,Secondary or less,False,2015-08,2015,8,5815
Ontario,Post Secondary,False,2015-08,2015,8,17490
Ontario,Other Studies,False,2015-08,2015,8,2070
Ontario,Education level not stated,False,2015-08,2015,8,5
Ontario,,True,2015-08,2015,8,25375
Manitoba,Secondary or less,False,2015-08,2015,8,240
Manitoba,Post Secondary,False,2015-08,2015,8,1250
Manitoba,Other Studies,False,2015-08,2015,8,175
Manitoba,Education level not stated,False,2015-08,2015,8,0
Manitoba,,True,2015-08,2015,8,1665
Saskatchewan,Secondary or less,False,2015-08,2015,8,240
Saskatchewan,Post Secondary,False,2015-08,2015,8,770
Saskatchewan,Other Studies,False,2015-08,2015,8,65
Saskatchewan,Education level not stated,False,2015-08,2015,8,2
Saskatchewan,,True,2015-08,2015,8,1080
Alberta,Secondary or less,False,2015-08,2015,8,995
Alberta,Post Secondary,False,2015-08,2015,8,2765
Alberta,Other Studies,False,2015-08,2015,8,335
Alberta,Education level not stated,False,2015-08,2015,8,2
Alberta,,True,2015-08,2015,8,4090
British Columbia,Secondary or less,False,2015-08,2015,8,5320
British Columbia,Post Secondary,False,2015-08,2015,8,7920
British Columbia,Other Studies,False,2015-08,2015,8,1535
British Columbia,Education level not stated,False,2015-08,2015,8,10
British Columbia,,True,2015-08,2015,8,14780
Yukon,Secondary or less,False,2015-08,2015,8,0
Yukon,Post Secondary,False,2015-08,2015,8,5
Yukon,Other Studies,False,2015-08,2015,8,0
Yukon,Education level not stated,False,2015-08,2015,8,0
Yukon,,True,2015-08,2015,8,5
Northwest Territories,Secondary or less,False,2015-08,2015,8,5
Northwest Territories,Post Secondary,False,2015-08,2015,8,0
Northwest Territories,Other Studies,False,2015-08,2015,8,0
Northwest Territories,,True,2015-08,2015,8,5
Nunavut,Secondary or less,False,2015-08,2015,8,0
Nunavut,Post Secondary,False,2015-08,2015,8,0
Nunavut,Other Studies,False,2015-08,2015,8,0
Nunavut,,True,2015-08,2015,8,0
Province/territory not stated Total,,False,2015-08,2015,8,5
Total,,True,2015-08,2015,8,61485
Newfoundland and Labrador,Secondary or less,False,2015-09,2015,9,65
Newfoundland and Labrador,Post Secondary,False,2015-09,2015,9,340
Newfoundland and Labrador,Other Studies,False,2015-09,2015,9,35
Newfoundland and Labrador,Education level not stated,False,2015-09,2015,9,0
Newfoundland and Labrador,,True,2015-09,2015,9,435
